surgery,age,rectal_temperature,pulse,respiratory_rate,temperature_extremities,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,packed_cell_volume,total_protein,outcome,surgical_lesion,cp_data
2,1,38.5,66,66,3,1,2,5,4,4,45.0,8.4,2,2,2
1,1,39.2,88,88,3,4,1,3,4,2,50.0,85.0,3,2,2
2,1,38.3,40,40,1,3,1,3,3,1,33.0,6.7,1,2,1
1,9,39.1,164,164,4,6,2,2,4,4,48.0,7.2,2,1,1
2,1,37.3,104,104,3,6,2,3,3,1,74.0,7.4,2,2,2
2,1,38.1,60,60,2,3,1,2,3,2,44.0,7.5,1,2,2
1,1,37.9,48,48,1,1,1,3,3,3,37.0,7.0,1,1,2
1,1,38.1,60,60,3,1,1,3,4,2,44.0,8.3,2,1,2
2,1,38.1,80,80,3,3,1,4,4,4,38.0,6.2,3,1,2
2,9,38.3,90,90,1,1,1,5,3,1,40.0,6.2,1,2,1
1,1,38.1,66,66,3,5,1,3,3,1,44.0,6.0,1,1,1
2,1,39.1,72,72,2,2,1,2,1,2,50.0,7.8,1,1,2
1,1,37.2,42,42,2,1,1,3,3,3,44.0,7.0,1,2,2
2,9,38.0,92,92,1,2,1,1,3,2,37.0,6.1,2,2,1
1,1,38.2,76,76,3,1,1,3,4,1,46.0,81.0,1,1,2
1,1,37.6,96,96,3,4,1,5,3,3,45.0,6.8,2,1,2
1,9,38.1,128,128,3,4,2,4,4,3,53.0,7.8,2,2,1
2,1,37.5,48,48,3,1,1,3,3,1,44.0,7.5,1,2,2
1,1,37.6,64,64,1,2,1,2,3,1,40.0,7.0,1,1,1
2,1,39.4,110,110,4,6,1,3,3,3,55.0,8.7,1,2,2
1,1,39.9,72,72,1,5,2,5,4,4,46.0,6.1,1,1,2
2,1,38.4,48,48,1,1,1,1,3,1,49.0,6.8,1,2,2
1,1,38.6,42,42,2,4,1,2,3,1,48.0,7.2,1,1,2
1,9,38.3,130,130,3,1,1,2,4,1,50.0,70.0,1,1,2
1,1,38.1,60,60,3,3,1,3,4,3,51.0,65.0,1,1,2
2,1,37.8,60,60,3,1,1,3,3,1,44.0,7.5,1,2,2
1,1,38.3,72,72,4,3,2,3,3,3,43.0,7.0,1,1,1
1,1,37.8,48,48,3,1,1,3,3,2,37.0,5.5,1,2,1
1,1,38.1,60,60,3,1,1,3,3,1,44.0,7.5,2,2,2
2,1,37.7,48,48,2,1,1,1,1,1,45.0,76.0,1,2,2
2,1,37.7,96,96,3,4,2,5,4,4,66.0,7.5,2,1,2
2,1,37.2,108,108,3,4,2,2,4,2,52.0,8.2,3,1,1
1,1,37.2,60,60,2,1,1,3,3,3,43.0,6.6,1,1,2
1,1,38.2,64,64,1,1,1,3,1,1,49.0,8.6,1,1,1
1,1,38.1,100,100,3,4,2,5,4,4,52.0,6.6,1,1,2
2,1,38.1,104,104,4,3,2,4,4,3,73.0,8.4,3,1,2
2,1,38.3,112,112,3,5,2,3,3,1,51.0,6.0,3,2,1
1,1,37.8,72,72,3,1,1,5,3,1,56.0,80.0,1,1,2
2,1,38.6,52,52,1,1,1,3,3,2,32.0,6.6,1,2,1
1,9,39.2,146,146,3,1,1,3,3,1,44.0,7.5,2,1,2
1,1,38.1,88,88,3,6,2,5,3,3,63.0,6.5,2,1,2
2,9,39.0,150,150,3,1,1,3,3,1,47.0,8.5,1,1,1
2,1,38.0,60,60,3,3,1,3,3,1,47.0,7.0,1,2,2
1,1,38.1,120,120,3,4,1,4,4,4,52.0,67.0,3,1,2
1,1,35.4,140,140,3,4,2,4,4,1,57.0,69.0,3,1,2
2,1,38.1,120,120,4,4,2,5,4,4,60.0,6.5,2,1,2
1,1,37.9,60,60,3,4,2,5,4,4,65.0,7.5,1,1,1
2,1,37.5,48,48,1,1,1,1,1,1,37.0,6.5,1,2,2
1,1,38.9,80,80,3,3,2,2,3,3,54.0,6.5,2,1,2
2,1,37.2,84,84,3,5,2,4,1,2,73.0,5.5,2,2,1
2,1,38.6,46,46,1,2,1,1,3,2,49.0,9.1,1,2,1
1,1,37.4,84,84,1,3,2,3,3,2,44.0,7.5,2,1,1
2,1,38.1,60,60,1,3,1,1,3,1,43.0,7.7,1,2,2
2,1,38.6,40,40,3,1,1,3,3,1,41.0,6.4,1,2,1
2,1,40.3,114,114,3,1,2,2,3,3,57.0,8.1,3,1,1
1,9,38.6,160,160,3,5,1,3,3,4,38.0,7.5,2,1,1
1,1,38.1,60,60,3,1,1,3,3,1,24.0,6.7,1,1,2
1,1,38.1,64,64,2,2,1,5,3,3,42.0,7.7,2,1,2
1,1,38.1,60,60,4,3,1,5,4,3,53.0,5.9,2,1,1
2,1,38.1,96,96,3,3,2,5,4,4,60.0,7.5,2,1,2
2,1,37.8,48,48,1,3,1,2,1,1,37.0,6.7,1,2,2
2,1,38.5,60,60,2,1,1,1,2,2,44.0,7.7,1,2,2
1,1,37.8,88,88,2,2,1,3,3,1,64.0,8.0,2,1,1
2,1,38.2,130,130,4,4,2,2,4,4,65.0,82.0,3,2,2
1,1,39.0,64,64,3,4,2,3,3,2,44.0,7.5,1,1,1
1,1,38.1,60,60,3,3,1,3,3,2,26.0,72.0,1,1,2
2,1,37.9,72,72,1,5,2,3,3,1,58.0,74.0,1,1,2
2,1,38.4,54,54,1,1,1,1,3,1,49.0,7.2,1,2,1
2,1,38.1,52,52,1,3,1,3,3,1,55.0,7.2,1,2,2
2,1,38.0,48,48,1,1,1,1,3,1,42.0,6.3,1,2,1
2,1,37.0,60,60,3,1,1,3,3,3,43.0,7.6,3,1,1
1,1,37.8,48,48,1,1,1,1,2,1,46.0,5.9,1,2,1
1,1,37.7,56,56,3,1,1,3,3,1,44.0,7.5,2,1,2
1,1,38.1,52,52,1,5,1,4,3,1,54.0,7.5,2,1,1
1,9,38.1,60,60,3,1,1,3,3,1,37.0,4.9,2,1,2
1,9,39.7,100,100,3,5,2,2,3,1,48.0,57.0,3,1,2
1,1,37.6,38,38,3,1,1,3,3,2,37.0,68.0,1,1,2
2,1,38.7,52,52,2,1,1,1,1,1,33.0,77.0,1,2,2
1,1,38.1,60,60,3,3,3,5,3,3,46.0,5.9,2,1,2
1,1,37.5,96,96,1,6,2,3,4,2,69.0,8.9,1,1,1
1,1,36.4,98,98,3,4,1,4,3,2,47.0,6.4,2,1,1
1,1,37.3,40,40,3,1,1,2,3,2,36.0,7.5,1,1,2
1,9,38.1,100,100,3,2,1,3,4,1,36.0,5.7,1,1,2
1,1,38.0,60,60,3,6,2,5,3,4,68.0,7.8,2,1,2
1,1,37.8,60,60,1,2,2,2,3,3,40.0,4.5,1,1,1
2,1,38.0,54,54,2,3,3,3,1,2,45.0,6.2,1,2,2
1,1,38.1,88,88,3,4,2,5,4,3,50.0,7.7,2,1,1
2,1,38.1,40,40,3,1,1,3,3,1,50.0,7.0,3,1,1
2,1,39.0,64,64,1,5,1,3,3,2,42.0,7.5,1,2,1
2,1,38.3,42,42,1,1,1,1,1,1,38.0,61.0,1,2,2
2,1,38.0,52,52,3,1,1,2,3,1,53.0,86.0,1,1,2
2,1,40.3,114,114,3,1,2,2,3,3,57.0,8.1,2,1,1
2,1,38.8,50,50,3,1,1,1,1,1,42.0,6.2,1,2,2
2,1,38.1,60,60,3,1,1,5,3,3,38.0,6.5,2,1,2
2,1,37.5,48,48,4,3,1,3,2,1,48.0,8.6,1,2,2
1,1,37.3,48,48,3,2,1,3,3,3,41.0,69.0,1,1,2
2,1,38.1,84,84,3,3,1,3,3,1,44.0,8.5,1,1,2
1,1,38.1,88,88,3,4,1,2,3,3,55.0,60.0,3,2,2
2,1,37.7,44,44,2,3,1,1,3,2,41.0,60.0,1,2,2
2,1,39.6,108,108,3,6,2,2,4,3,59.0,8.0,1,2,1
1,1,38.2,40,40,3,1,1,1,3,1,34.0,66.0,1,2,2
1,1,38.1,60,60,4,4,2,5,4,1,44.0,7.5,3,1,2
2,1,38.3,40,40,3,1,1,2,3,1,37.0,57.0,1,2,2
1,9,38.0,140,140,1,1,1,3,3,2,39.0,5.3,1,1,2
1,1,37.8,52,52,1,3,1,4,4,1,48.0,6.6,2,1,2
1,1,38.1,70,70,1,3,2,2,3,2,36.0,7.3,1,1,2
1,1,38.3,52,52,3,3,1,3,3,1,43.0,6.1,1,1,1
2,1,37.3,50,50,1,3,1,1,3,2,44.0,7.0,1,2,2
1,1,38.7,60,60,4,2,2,4,4,4,53.0,64.0,3,1,2
1,9,38.4,84,84,3,2,1,3,3,3,36.0,6.6,2,1,1
1,1,38.1,70,70,3,5,2,2,3,2,60.0,7.5,2,1,2
1,1,38.3,40,40,3,1,1,1,3,2,38.0,58.0,1,1,2
1,1,38.1,40,40,2,1,1,1,3,1,39.0,56.0,1,1,2
1,1,36.8,60,60,3,1,1,3,3,1,44.0,7.5,2,1,1
1,1,38.4,44,44,3,4,1,5,4,3,50.0,77.0,1,1,2
2,1,38.1,60,60,3,1,1,3,3,2,45.0,70.0,1,2,2
1,1,38.0,44,44,1,1,1,3,3,3,42.0,65.0,1,1,2
2,1,39.5,60,60,3,4,2,3,4,3,44.0,6.7,3,1,2
1,1,36.5,78,78,1,1,1,5,3,1,34.0,75.0,1,1,2
2,1,38.1,56,56,2,2,1,1,3,1,46.0,70.0,1,2,2
1,1,39.4,54,54,1,2,1,2,3,2,39.0,6.0,1,1,1
1,1,38.3,80,80,3,6,2,4,3,1,67.0,10.2,3,1,2
2,1,38.7,40,40,2,1,1,3,1,1,39.0,62.0,1,2,2
1,1,38.2,64,64,1,3,1,4,4,3,45.0,7.5,2,1,1
2,1,37.6,48,48,3,4,1,1,1,3,37.0,5.5,3,1,2
1,1,38.0,42,42,4,1,1,3,3,2,41.0,7.6,1,1,2
1,1,38.7,60,60,3,3,1,5,4,2,33.0,6.5,1,1,2
1,1,37.4,50,50,3,1,1,4,4,1,45.0,7.9,1,1,1
1,1,37.4,84,84,3,3,1,2,3,3,31.0,61.0,3,2,2
1,1,38.4,49,49,3,1,1,3,3,1,44.0,7.6,1,1,2
1,1,37.8,30,30,3,1,1,3,3,1,44.0,7.5,2,1,2
2,1,37.6,88,88,3,1,1,3,3,2,44.0,6.0,2,1,2
2,1,37.9,40,40,1,1,1,2,3,1,40.0,5.7,1,1,2
1,1,38.1,100,100,3,4,2,5,4,1,59.0,6.3,2,1,2
1,9,38.1,136,136,3,3,1,5,1,3,33.0,4.9,2,1,1
1,1,38.1,60,60,3,3,2,5,3,3,46.0,5.9,2,1,2
1,1,38.0,48,48,1,1,1,1,2,4,44.0,7.5,1,1,2
2,1,38.0,56,56,1,3,1,1,1,1,42.0,71.0,1,2,2
2,1,38.0,60,60,1,1,1,3,3,1,50.0,7.0,1,2,2
1,1,38.1,44,44,3,1,1,2,2,1,31.0,7.3,1,2,2
2,1,36.0,42,42,3,5,1,3,3,1,64.0,6.8,2,2,2
1,1,38.1,120,120,4,6,2,5,4,4,57.0,4.5,2,1,1
1,1,37.8,48,48,1,1,2,1,2,1,46.0,5.9,1,2,1
1,1,37.1,84,84,3,6,1,2,4,4,75.0,81.0,3,2,2
2,1,38.1,80,80,3,2,1,2,3,3,50.0,80.0,1,1,2
1,1,38.2,48,48,1,3,1,3,4,4,42.0,71.0,1,1,2
2,1,38.0,44,44,2,3,1,3,4,3,33.0,6.5,2,1,2
1,1,38.3,132,132,3,6,2,2,4,2,57.0,8.0,1,1,1
2,1,38.7,48,48,3,1,1,1,1,1,34.0,63.0,1,2,2
2,1,38.9,44,44,3,1,1,2,3,2,33.0,64.0,1,2,2
1,1,39.3,60,60,4,6,2,4,4,2,75.0,7.5,2,1,1
1,1,38.1,100,100,3,4,2,3,4,4,68.0,64.0,1,1,2
2,1,38.6,48,48,3,1,1,1,3,2,50.0,7.3,1,2,1
2,1,38.8,48,48,1,3,1,3,3,4,41.0,65.0,1,1,2
2,1,38.0,48,48,3,4,1,1,4,2,49.0,8.3,1,2,1
2,1,38.6,52,52,1,1,1,3,3,2,36.0,6.6,1,2,1
1,1,37.8,60,60,1,3,2,3,4,4,52.0,75.0,3,1,2
2,1,38.0,42,42,3,1,1,3,3,1,44.0,7.5,1,2,2
2,1,38.1,60,60,1,2,1,2,1,2,44.0,7.5,1,2,1
1,1,38.1,60,60,3,1,1,4,3,1,35.0,58.0,1,1,2
1,1,38.3,42,42,3,1,1,3,3,1,40.0,8.5,2,1,2
2,1,39.5,60,60,3,1,2,3,3,2,38.0,56.0,1,2,2
1,1,38.0,66,66,1,3,1,5,3,1,46.0,46.0,3,1,2
1,1,38.7,76,76,1,5,2,3,3,2,50.0,8.0,1,1,1
1,1,39.4,120,120,3,5,1,3,3,3,56.0,64.0,3,2,2
1,1,38.3,40,40,1,1,1,3,1,1,43.0,5.9,1,2,1
2,1,38.1,44,44,1,1,1,3,3,1,44.0,6.3,1,2,2
1,1,38.4,104,104,1,3,1,2,4,2,55.0,8.5,1,1,2
1,1,38.1,65,65,3,1,2,5,3,4,44.0,7.5,3,1,2
2,1,37.5,44,44,1,3,1,3,1,1,35.0,7.2,1,2,2
2,1,39.0,86,86,3,5,1,3,3,3,68.0,5.8,2,1,1
1,1,38.5,129,129,3,3,1,2,4,3,57.0,66.0,1,1,2
1,1,38.1,104,104,3,5,2,2,4,3,69.0,8.6,2,1,1
2,1,38.1,60,60,3,6,1,4,3,4,44.0,7.5,2,1,1
1,1,38.1,60,60,3,1,1,3,3,1,44.0,7.5,1,1,2
1,1,38.2,60,60,1,3,1,3,3,1,48.0,66.0,1,1,2
1,1,38.1,68,68,3,4,1,4,3,1,44.0,7.5,2,1,1
1,1,38.1,60,60,3,4,2,5,4,4,45.0,70.0,1,1,2
2,1,38.5,100,100,3,5,2,4,3,4,44.0,7.5,3,2,1
1,1,38.4,84,84,3,5,2,4,3,3,47.0,7.5,2,1,2
