surgery,age,rectal_temperature,pulse,respiratory_rate,temperature_extremities,mucous_membranes,capillary_refill_time,pain,peristalsis,abdominal_distension,packed_cell_volume,total_protein,outcome,surgical_lesion,cp_data
2,1,37.8,48,48,3,1,1,3,3,2,35.0,7.5,1,2,1
1,1,38.0,60,60,3,6,2,5,3,4,68.0,7.8,2,1,2
2,1,37.8,56,56,1,2,1,2,1,1,44.0,68.0,1,2,2
2,1,38.2,68,68,2,2,1,1,1,1,43.0,65.0,1,2,2
1,1,38.5,120,120,4,6,2,3,3,1,54.0,7.5,1,1,2
1,1,39.3,64,64,2,1,1,3,3,1,39.0,6.7,1,1,2
1,1,38.4,80,80,4,1,1,3,3,3,32.0,6.1,1,1,1
1,1,38.5,60,60,1,1,1,3,1,1,33.0,53.0,1,1,2
1,1,38.3,60,60,3,1,1,2,1,1,30.0,6.0,1,1,2
1,1,37.1,40,40,3,4,1,3,3,1,23.0,6.7,1,1,1
2,9,38.1,100,100,2,1,1,4,1,1,37.0,4.7,1,2,2
1,1,38.2,48,48,1,1,1,3,3,3,48.0,74.0,1,1,2
1,1,38.1,60,60,3,4,2,4,3,4,58.0,7.6,2,1,2
2,1,37.9,88,88,1,2,1,2,2,1,37.0,56.0,1,2,2
2,1,38.0,44,44,3,1,1,3,1,2,42.0,64.0,1,2,2
2,1,38.5,60,60,1,5,2,2,2,1,63.0,7.5,3,2,1
2,1,38.5,96,96,3,1,2,2,4,2,70.0,8.5,2,1,1
2,1,38.3,60,60,1,1,2,1,3,1,34.0,66.0,1,2,2
2,1,38.5,60,60,3,2,1,2,1,2,49.0,59.0,1,2,2
1,1,37.3,48,48,1,3,1,3,1,3,40.0,6.6,1,1,1
1,1,38.5,86,86,1,3,1,4,4,3,45.0,7.4,2,1,1
1,1,37.5,48,48,3,1,1,3,3,1,41.0,55.0,3,1,2
2,1,37.2,36,36,1,1,1,2,3,1,35.0,5.7,1,2,2
1,1,39.2,60,60,3,3,1,4,4,2,36.0,6.6,1,1,1
2,1,38.5,100,100,3,5,2,4,3,4,44.0,7.5,3,2,2
1,1,38.5,96,96,2,4,2,4,4,3,50.0,65.0,1,1,2
1,1,38.1,60,60,3,1,1,3,3,1,45.0,8.7,2,1,2
1,1,37.8,88,88,3,5,2,3,3,3,64.0,89.0,3,1,2
2,1,37.5,44,44,3,1,1,3,1,2,43.0,51.0,1,2,2
1,1,37.9,68,68,3,2,1,2,4,2,45.0,4.0,2,1,1
1,1,38.0,86,86,4,4,1,2,4,4,45.0,5.5,2,1,1
1,9,38.9,120,120,1,2,2,3,3,3,47.0,6.3,1,2,2
1,1,37.6,45,45,3,3,1,3,2,2,39.0,7.0,1,1,1
2,1,38.6,56,56,2,1,1,1,1,1,40.0,7.0,1,2,1
1,1,37.8,40,40,1,1,1,1,2,1,38.0,7.0,1,1,2
2,1,38.1,60,60,3,1,1,3,3,1,44.0,7.5,1,2,2
1,1,38.0,76,76,3,1,2,3,3,1,71.0,11.0,1,1,1
1,1,38.1,40,40,1,2,1,2,2,1,44.0,7.5,3,1,2
1,1,38.1,52,52,3,4,1,3,4,3,37.0,8.1,1,1,2
1,1,39.2,88,88,4,1,2,5,4,1,44.0,7.5,3,2,2
1,1,38.5,92,92,4,1,1,2,4,3,46.0,67.0,1,1,2
1,1,38.1,112,112,4,4,1,2,3,1,60.0,6.3,1,1,1
1,1,37.7,66,66,1,3,1,3,3,2,31.5,6.2,1,1,1
1,1,38.8,50,50,1,1,1,3,1,1,38.0,58.0,1,1,2
2,1,38.4,54,54,1,1,1,1,3,1,49.0,7.2,1,2,1
1,1,39.2,120,120,4,5,2,2,3,3,60.0,8.8,2,1,2
1,9,38.1,60,60,3,1,1,3,3,1,45.0,6.5,1,1,1
1,1,37.3,90,90,3,6,2,5,4,3,65.0,50.0,3,1,2
1,9,38.5,120,120,3,1,1,3,1,1,35.0,54.0,1,1,2
1,1,38.5,104,104,3,1,1,4,3,4,44.0,7.5,1,1,2
2,1,39.5,92,92,3,6,1,5,4,1,72.0,6.4,2,2,2
1,1,38.5,30,30,3,1,1,3,3,1,40.0,7.7,1,1,2
1,1,38.3,72,72,4,3,2,3,3,3,43.0,7.0,1,1,1
2,1,37.5,48,48,4,3,1,3,2,1,48.0,8.6,1,2,2
1,1,38.1,52,52,1,5,1,4,3,1,54.0,7.5,2,1,1
2,1,38.2,42,42,1,1,1,3,1,2,36.0,6.9,1,2,2
2,1,37.9,54,54,2,5,1,3,1,1,47.0,54.0,1,2,2
2,1,36.1,88,88,3,3,1,3,3,2,45.0,7.0,3,1,1
1,1,38.1,70,70,3,1,1,5,3,1,36.0,65.0,3,1,2
1,1,38.0,90,90,4,4,2,5,4,4,55.0,6.1,2,1,2
1,1,38.2,52,52,1,2,1,1,2,1,43.0,8.1,1,2,1
1,1,38.1,36,36,1,4,1,5,3,3,41.0,5.9,2,1,2
1,1,38.4,92,92,1,1,2,3,3,3,44.0,7.5,1,1,1
1,9,38.2,124,124,1,2,1,2,3,4,47.0,8.0,1,1,1
2,1,38.1,96,96,3,3,2,5,4,4,60.0,7.5,2,1,2
1,1,37.6,68,68,3,3,1,4,2,4,47.0,7.2,1,1,2
1,1,38.1,88,88,3,4,1,5,4,3,41.0,4.6,2,1,2
1,1,38.0,108,108,2,4,1,4,3,3,44.0,7.5,1,1,2
2,1,38.2,48,48,2,1,2,3,3,1,34.0,6.6,1,2,2
1,1,39.3,100,100,4,6,1,2,4,1,66.0,13.0,3,1,2
2,1,36.6,42,42,3,2,1,1,4,1,52.0,7.1,2,1,2
1,9,38.8,124,124,3,2,1,2,3,4,50.0,7.6,2,1,1
2,1,38.1,112,112,3,4,2,5,4,2,40.0,5.3,1,2,1
1,1,38.1,80,80,3,3,1,4,4,4,43.0,70.0,1,1,2
1,9,38.8,184,184,1,1,1,4,1,3,33.0,3.3,2,1,2
1,1,37.5,72,72,2,1,1,2,1,1,35.0,65.0,3,1,2
1,1,38.7,96,96,3,4,1,3,4,1,64.0,9.0,2,1,1
2,1,37.5,52,52,1,1,1,2,3,2,36.0,61.0,1,2,2
1,1,40.8,72,72,3,1,1,2,3,1,54.0,7.4,2,1,1
2,1,38.0,40,40,3,1,1,4,3,2,37.0,69.0,1,2,2
2,1,38.4,48,48,2,1,1,1,3,2,39.0,6.5,1,2,1
2,9,38.6,88,88,3,1,1,3,3,1,35.0,5.9,1,2,2
1,1,37.1,75,75,3,3,2,4,4,2,48.0,7.4,2,1,1
1,1,38.3,44,44,3,2,1,3,3,3,44.0,6.5,1,1,1
2,1,38.1,56,56,3,1,1,3,3,1,40.0,6.0,3,1,2
2,1,38.6,68,68,2,3,1,3,3,2,38.0,6.5,1,2,1
2,1,38.3,54,54,3,2,1,2,3,2,44.0,7.2,1,2,1
1,1,38.2,42,42,3,1,1,3,3,1,47.0,60.0,1,2,2
1,1,39.3,64,64,2,1,1,3,3,1,39.0,6.7,1,1,2
1,1,37.5,60,60,3,1,1,3,3,2,35.0,6.5,2,1,2
1,1,37.7,80,80,3,6,1,5,4,1,50.0,55.0,1,1,2
1,1,38.1,100,100,3,4,2,5,4,4,52.0,6.6,1,1,2
1,1,37.7,120,120,3,3,1,5,3,3,65.0,7.0,2,1,1
1,1,38.1,76,76,3,1,1,3,4,4,44.0,7.5,3,1,2
1,9,38.8,150,150,1,6,2,5,3,2,50.0,6.2,2,1,2
1,1,38.0,36,36,3,1,1,4,2,2,37.0,75.0,3,2,2
2,1,36.9,50,50,2,3,1,1,3,2,37.5,6.5,1,2,2
2,1,37.8,40,40,1,1,1,1,1,1,37.0,6.8,1,2,2
2,1,38.2,56,56,4,1,1,2,4,3,47.0,7.2,1,2,1
1,1,38.6,48,48,3,1,1,1,1,1,36.0,67.0,1,2,2
2,1,40.0,78,78,3,5,1,2,3,1,66.0,6.5,2,1,1
1,1,38.1,70,70,3,5,2,2,3,2,60.0,7.5,2,1,2
1,1,38.2,72,72,3,1,1,3,3,1,35.0,6.4,1,1,2
2,1,38.5,54,54,1,1,1,3,1,1,40.0,6.8,1,2,1
1,1,38.5,66,66,1,1,1,3,3,1,40.0,6.7,1,1,1
2,1,37.8,82,82,3,1,2,4,3,3,50.0,7.0,3,1,2
2,9,39.5,84,84,3,1,1,3,3,1,28.0,5.0,1,2,2
1,1,38.1,60,60,3,1,1,3,3,1,44.0,7.5,1,1,2
1,1,38.0,50,50,3,1,1,3,2,2,39.0,6.6,1,1,1
2,1,38.6,45,45,2,2,1,1,1,1,43.0,58.0,1,2,2
1,1,38.9,80,80,3,3,1,2,3,3,54.0,6.5,2,1,2
1,1,37.0,66,66,1,2,1,4,3,3,35.0,6.9,2,1,2
1,1,38.1,78,78,3,3,1,3,3,1,43.0,62.0,3,2,2
2,1,38.5,40,40,1,1,1,2,1,1,37.0,67.0,1,2,2
1,1,38.1,120,120,4,4,2,2,4,1,55.0,65.0,3,2,2
2,1,37.2,72,72,3,4,2,4,3,3,44.0,7.5,3,1,1
1,1,37.5,72,72,4,4,1,4,4,3,60.0,6.8,2,1,2
1,1,36.5,100,100,3,3,1,3,3,3,50.0,6.0,1,1,1
1,1,37.2,40,40,3,1,1,3,3,1,36.0,62.0,3,2,2
2,1,38.5,54,54,3,2,2,3,4,1,42.0,6.3,1,2,1
2,1,37.6,48,48,3,1,1,3,3,1,44.0,6.3,1,2,1
1,1,37.7,44,44,3,3,2,5,4,4,45.0,70.0,1,1,2
1,1,37.0,56,56,3,4,2,4,4,3,35.0,61.0,3,2,2
2,1,38.0,42,42,3,3,1,1,3,1,37.0,5.8,1,2,2
1,1,38.1,60,60,3,1,1,3,4,1,42.0,72.0,1,1,2
2,1,38.4,80,80,3,2,1,3,2,1,54.0,6.9,1,2,2
2,1,37.8,48,48,2,2,1,3,3,1,48.0,7.3,1,2,1
2,1,37.9,45,45,3,3,2,2,3,1,33.0,5.7,1,1,1
2,1,39.0,84,84,3,5,1,2,4,2,62.0,5.9,2,1,1
2,1,38.2,60,60,3,3,2,3,3,2,53.0,7.5,1,2,1
1,1,38.1,140,140,3,4,2,5,4,4,30.0,69.0,2,2,2
1,1,37.9,120,120,3,3,1,5,4,4,52.0,6.6,2,1,1
2,1,38.0,72,72,1,3,1,3,3,2,38.0,6.8,1,2,1
2,9,38.0,92,92,1,2,1,1,3,2,37.0,6.1,1,2,1
1,1,38.3,66,66,2,1,1,2,4,3,37.0,6.0,1,1,2
2,1,37.5,48,48,3,1,1,2,1,1,43.0,6.0,1,2,1
1,1,37.5,88,88,2,3,1,4,3,3,35.0,6.4,2,1,2
2,9,38.1,150,150,4,4,2,5,4,4,44.0,7.5,2,1,2
1,1,39.7,100,100,3,6,2,4,4,3,65.0,75.0,3,1,2
1,1,38.3,80,80,3,4,2,5,4,3,45.0,7.5,1,1,1
2,1,37.5,40,40,3,3,1,3,2,3,32.0,6.4,1,1,1
1,1,38.4,84,84,3,5,2,4,3,3,47.0,7.5,2,1,2
1,1,38.1,84,84,4,4,2,5,3,1,60.0,6.8,2,1,1
2,1,38.7,52,52,1,1,1,1,3,1,4.0,74.0,1,2,2
2,1,38.1,44,44,2,3,1,3,3,1,35.0,6.8,1,2,2
2,1,38.4,52,52,2,3,1,1,3,2,41.0,63.0,1,2,2
1,1,38.2,60,60,1,3,1,2,1,1,43.0,6.2,1,1,1
2,1,37.7,40,40,1,1,1,3,2,1,36.0,3.5,1,2,2
1,1,39.1,60,60,3,1,1,2,3,1,44.0,7.5,1,1,2
2,1,37.8,48,48,1,1,1,3,1,1,43.0,7.5,1,2,2
1,1,39.0,120,120,4,5,2,2,4,3,65.0,8.2,1,2,2
1,1,38.2,76,76,2,2,1,5,3,3,35.0,6.5,1,1,1
2,1,38.3,88,88,3,6,1,3,3,1,44.0,7.5,2,2,2
1,1,38.0,80,80,3,3,1,3,3,1,48.0,8.3,1,1,2
1,1,38.1,60,60,3,1,1,2,3,3,44.0,7.5,2,1,1
1,1,37.6,40,40,1,1,1,1,1,1,44.0,7.5,1,1,1
2,1,37.5,44,44,1,1,1,3,3,2,45.0,5.8,1,2,1
2,1,38.2,42,42,1,3,1,1,3,1,35.0,60.0,1,2,2
2,1,38.0,56,56,3,3,1,3,1,1,47.0,70.0,1,2,2
2,1,38.3,45,45,3,2,2,2,4,1,44.0,7.5,1,2,2
1,1,38.1,48,48,1,3,1,3,4,1,42.0,8.0,1,1,2
1,1,37.7,55,55,2,2,1,2,3,3,44.0,7.5,1,1,2
2,1,36.0,100,100,4,6,2,2,4,3,74.0,5.7,3,1,1
1,1,37.1,60,60,2,4,1,3,3,3,64.0,8.5,1,1,1
2,1,37.1,114,114,3,3,2,2,2,1,32.0,7.5,1,2,2
1,1,38.1,72,72,3,3,1,4,4,3,37.0,56.0,1,1,2
1,1,37.0,44,44,3,1,2,1,1,1,40.0,6.7,1,1,2
1,1,38.6,48,48,3,1,1,4,3,1,37.0,75.0,1,1,2
1,1,38.1,82,82,3,4,1,2,3,3,53.0,65.0,3,1,2
1,9,38.2,78,78,4,6,1,3,3,3,59.0,5.8,2,1,1
2,1,37.8,60,60,1,3,1,2,3,2,41.0,73.0,3,2,2
1,1,38.7,34,34,2,3,1,2,3,1,33.0,69.0,3,1,2
1,1,38.1,36,36,1,1,1,1,2,1,44.0,7.5,1,1,1
2,1,38.3,44,44,3,1,1,3,3,1,6.4,36.0,1,1,2
2,1,37.4,54,54,3,1,1,3,4,3,30.0,7.1,1,1,1
1,1,38.1,60,60,4,1,2,2,4,1,54.0,76.0,1,1,2
1,1,36.6,48,48,3,3,1,4,1,1,27.0,56.0,3,1,2
1,1,38.5,90,90,1,3,1,3,3,3,47.0,79.0,1,1,2
1,1,38.1,75,75,1,4,1,5,3,3,58.0,8.5,1,1,1
2,1,38.2,42,42,3,1,1,1,1,2,35.0,5.9,1,2,2
1,9,38.2,78,78,4,6,1,3,3,3,59.0,5.8,2,1,1
2,1,38.6,60,60,1,3,1,4,2,2,40.0,6.0,1,1,2
2,1,37.8,42,42,1,1,1,1,3,1,36.0,6.2,1,2,2
1,1,38.0,60,60,1,2,1,2,1,1,44.0,65.0,3,1,2
2,1,38.0,42,42,3,3,1,1,1,1,37.0,5.8,1,2,2
2,1,37.6,88,88,3,1,1,3,3,2,44.0,6.0,2,1,2
